上市公司代码_Comcd,Lstknm,Csrciccd1,YY,MV,TT
C000001,平安银行,金融业,-0.2845,2.28E+11,declning
C000002,万科A,房地产业,-0.2041,3.02E+11,declning
C000004,国农科技,制造业,-0.2837,1879398188,declning
C000005,世纪星源,水利、环境和公共设施管理业,-0.3527,4382342526,declning
C000006,深振业A,房地产业,-0.4557,6992974338,declning
C000007,全新好,房地产业,-0.5162,2792371235,declning
C000008,神州高铁,制造业,-0.5497,24660385829,declning
C000009,中国宝安,综合,-0.4011,15539764140,declning
C000010,*ST美丽,建筑业,-0.3985,4443612544,declning
C000011,深物业A,房地产业,-0.4354,8871396925,declning
C000012,南玻A,制造业,-0.4511,13580636837,declning
C000014,沙河股份,房地产业,-0.1373,2174381916,declning
C000016,深康佳A,制造业,-0.4386,9675358428,declning
C000017,深中华A,制造业,-0.2968,1878506783,declning
C000018,*ST神城,建筑业,-0.6471,8778783694,declning
C000019,深粮控股,制造业,-0.4123,7859611854,declning
C000020,深华发A,制造业,-0.2608,2563490283,declning
C000021,深科技,制造业,-0.4039,14315353602,declning
C000023,深天地A,制造业,-0.3785,11221920762,declning
C000025,特力A,批发和零售业,-0.3113,2848665607,declning
C000026,飞亚达A,批发和零售业,-0.3441,10431650416,declning
C000027,深圳能源,电力、热力、燃气及水生产和供应业,-0.1205,4078046381,declning
C000028,国药一致,批发和零售业,-0.3072,24024819078,declning
C000030,富奥股份,制造业,-0.3349,22487793326,declning
C000031,大悦城,房地产业,-0.3831,10211261585,declning
C000032,深桑达A,批发和零售业,-0.3002,8851010188,declning
C000034,神州数码,批发和零售业,-0.3756,4247876588,declning
C000035,中国天楹,水利、环境和公共设施管理业,-0.2262,8797247337,declning
C000036,华联控股,房地产业,-0.3352,7027911400,declning
C000037,深南电A,电力、热力、燃气及水生产和供应业,-0.3333,10319048916,declning
C000038,深大通,租赁和商务服务业,-0.3664,2419804191,declning
C000039,中集集团,制造业,-0.5252,10858086993,declning
C000040,东旭蓝天,电力、热力、燃气及水生产和供应业,-0.4825,28914671672,declning
C000042,中洲控股,房地产业,-0.2964,18787284472,declning
C000043,中航善达,房地产业,-0.2194,10790209386,declning
C000045,深纺织A,制造业,-0.4062,6476195349,declning
C000046,泛海控股,房地产业,-0.3539,4502297953,declning
C000048,*ST康达,制造业,0,38763656894,no change
C000049,德赛电池,制造业,-0.2693,7838819540,declning
C000050,深天马A,制造业,-0.4987,8125599587,declning
C000055,方大集团,制造业,-0.3152,27615656244,declning
C000056,皇庭国际,房地产业,-0.6405,4119075760,declning
C000058,深赛格,租赁和商务服务业,-0.1885,12358267505,declning
C000059,华锦股份,制造业,-0.3767,7320042489,declning
C000060,中金岭南,制造业,-0.4458,15242687378,declning
C000061,农产品,租赁和商务服务业,-0.3603,26582256735,declning
C000062,深圳华强,批发和零售业,-0.2759,12998745243,declning
C000063,中兴通讯,制造业,-0.4612,16943731021,declning
C000065,北方国际,建筑业,-0.3604,1.25E+11,declning
C000066,中国长城,制造业,-0.3416,9336665647,declning
C000068,华控赛格,制造业,-0.1584,21462266356,declning
C000069,华侨城A,房地产业,-0.2167,5083690893,declning
C000070,特发信息,制造业,-0.236,69666235213,declning
C000078,海王生物,批发和零售业,-0.4831,5856130928,declning
C000088,盐田港,交通运输、仓储和邮政业,-0.3454,15615018216,declning
C000089,深圳机场,交通运输、仓储和邮政业,0,14896674000,no change
C000090,天健集团,建筑业,-0.4303,17841694728,declning
C000096,广聚能源,批发和零售业,-0.2988,12025766771,declning
C000099,中信海直,交通运输、仓储和邮政业,-0.3731,6980160000,declning
C000100,TCL集团,制造业,-0.3462,5466755188,declning
C000150,宜华健康,卫生和社会工作,-0.3224,52708391046,declning
C000151,中成股份,批发和零售业,-0.1478,13693873139,declning
C000153,丰原药业,制造业,-0.3489,3643513800,declning
C000155,川能动力,制造业,-0.403,2508084053,declning
C000156,华数传媒,文化、体育和娱乐业,-0.2868,7658100000,declning
C000157,中联重科,制造业,-0.1588,16340211683,declning
C000158,常山北明,制造业,-0.3363,28634109221,declning
C000159,国际实业,批发和零售业,-0.1992,13123827190,declning
C000166,申万宏源,金融业,-0.2328,2535604079,declning
C000301,东方盛虹,制造业,0.0471,1.08E+11,advancing
C000333,美的集团,制造业,-0.3134,6468835523,declning
C000338,潍柴动力,制造业,0,3.63E+11,no change
C000400,许继电气,制造业,-0.3245,50492015957,declning
C000401,冀东水泥,制造业,-0.1022,13299837206,declning
C000402,金融街,房地产业,-0.3933,18582340984,declning
C000403,振兴生化,制造业,-0.153,33207011267,declning
C000404,长虹华意,制造业,-0.3822,8103732018,declning
C000407,胜利股份,电力、热力、燃气及水生产和供应业,-0.515,4377814708,declning
C000408,藏格控股,制造业,-0.3661,6767851005,declning
C000409,ST地矿,综合,0.0802,35289897539,advancing
C000410,*ST沈机,制造业,-0.3535,2677279310,declning
C000411,英特集团,批发和零售业,-0.3648,7470995828,declning
C000413,东旭光电,制造业,-0.5128,4128253925,declning
C000415,渤海租赁,租赁和商务服务业,-0.3646,51404746097,declning
C000416,民生控股,金融业,-0.4185,35622842584,declning
C000417,合肥百货,批发和零售业,-0.4449,3786925037,declning
C000419,通程控股,批发和零售业,-0.3278,6293665494,declning
C000420,吉林化纤,制造业,-0.393,29952510872,declning
C000421,南京公用,电力、热力、燃气及水生产和供应业,-0.2749,3299546716,declning
