Lstknm,日期_Date,Clpr,Trdvol,YrTrdTurnR
平安银行,2018/12/28,9.38,27663556744,35.3195
万科A,2018/12/28,23.82,11979561967,29.6871
国农科技,2018/12/28,16.03,147104251,37.0285
世纪星源,2018/12/28,2.68,1703907017,57.1145
深振业A,2018/12/28,5.18,3513506420,81.1111
全新好,2018/12/28,8.06,2106092614,594.1548
神州高铁,2018/12/28,3.89,4692484827,74.4484
中国宝安,2018/12/28,4.31,4025681789,62.9773
美丽生态,2018/12/28,3.26,2208263607,66.3848
深物业A,2018/12/28,9.18,1299076170,247.9062
南玻A,2018/12/28,3.99,2631970262,28.6061
沙河股份,2018/12/28,9.29,2769127109,220.7509
深康佳A,2018/12/28,3.24,3704478306,44.0864
深中华A,2018/12/28,4.36,2445663705,358.0538
神州长城,2018/12/28,2.12,4923824782,166.488
深深宝A,2018/12/28,7.14,2210622859,115.2076
深华发A,2018/12/28,10.46,763490027,71.2579
深科技,2018/12/28,5.75,4339290043,34.3464
招商港口,2018/9/27,19.33,217316025,
深天地A,2018/12/28,12.71,778132368,198.285
特力A,2018/12/28,26.52,855614765,90.2903
飞亚达A,2018/12/28,7.29,486597350,32.8685
深圳能源,2018/12/28,5.25,1421572382,10.4321
国药一致,2018/12/28,41.44,309835059,21.7358
,2018/10/31,41.44,,
富奥股份,2018/12/28,3.71,901230890,16.4995
中粮地产,2018/12/28,4.88,1687844983,36.0534
深桑达A,2018/12/28,7.02,803230624,62.7017
神州数码,2018/12/28,13.45,1046039822,116.4351
中国天楹,2018/12/28,5.2,1022159942,35.8014
华联控股,2018/12/28,5.51,3005372361,45.1659
深南电A,2018/12/28,4.76,608240492,38.9483
深大通,2018/12/28,12.76,541139365,184.8851
中集集团,2018/12/28,10.58,2436703823,33.0456
东旭蓝天,2018/12/28,7.23,2794252662,108.563
中洲控股,2018/12/28,11.22,371866167,26.5572
中航善达,2018/12/28,7.48,783371701,32.3689
深纺织A,2018/12/28,5.79,1168538070,73.3011
泛海控股,2018/12/28,4.67,1719522221,5.7713
*ST康达,2018/12/28,18.2,115064927,6.4278
德赛电池,2018/12/28,28.68,712888286,96.1225
深天马A,2018/12/28,9.81,3828729946,57.4724
方大集团,2018/12/28,4,3132772115,63.389
皇庭国际,2018/12/28,4.73,1251822983,119.1828
深赛格,2018/12/28,5.95,2060423817,248.5734
华锦股份,2018/12/28,5.94,3645306302,39.288
中金岭南,2018/12/28,3.96,6825086700,37.1634
农产品,2018/12/28,4.85,1197620453,28.2706
深圳华强,2018/12/28,16.66,710296073,21.2765
中兴通讯,2018/12/28,19.59,27045587378,218.0768
北方国际,2018/12/28,7.68,1145165302,39.2936
中国长城,2018/12/28,4.74,10938545663,64.685
